Spk FR,20000.000,94.621,Total Distortion,100.000,68.495,Spk THD,100.000,17.175,Spk Rub & Buzz,100.000,0.361,Spk FR Smoothed,20000.000,94.621,Mic Seal L smoothed,20000.000,-53.096,Mic Seal R smoothed,20000.000,-46.947,Mic Seal Delta L,100.000,-135.999,Mic Seal Delta R,100.000,-135.272,Mic L THD,200.000,10.357,Mic L Rub & Buzz,200.000,0.267,Mic L FR smoothed,10000.000,-38.100,Mic L 1k  Sensitivity,NaN,-40.184,Check Mic Missing  Delta Curve,200.000,0.523,Mic R THD,200.000,10.699,Mic R Rub & Buzz,200.000,0.272,Mic R FR smoothed,10000.000,-38.118,Mic R 1k  Sensitivity,NaN,-40.116,mic seal L final,100.000,-95.815,mic seal R final,100.000,-95.156
,19000.000,87.554,,106.000,69.527,,106.000,21.342,,106.000,0.412,,19000.000,94.001,,19000.000,-41.503,,19000.000,-47.322,,106.000,-135.967,,106.000,-135.164,,212.000,6.641,,212.000,0.244,,9500.000,-37.401,,,,,212.000,0.760,,212.000,6.758,,212.000,0.221,,9500.000,-37.842,,,,,106.000,-95.783,,106.000,-95.048
x data lin,18000.000,97.791,x data lin,112.000,70.541,x data lin,112.000,26.468,x data lin,112.000,0.435,x data lin,18000.000,98.324,x data lin,18000.000,-42.191,x data lin,18000.000,-45.659,x data lin,112.000,-135.850,x data lin,112.000,-134.980,x data lin,224.000,4.623,x data lin,224.000,0.170,x data lin,9000.000,-37.140,x data lin,,,x data lin,224.000,0.896,x data lin,224.000,4.564,x data lin,224.000,0.154,x data lin,9000.000,-37.921,x data lin,,,x data lin,112.000,-95.666,x data lin,112.000,-94.863
y data dB,17000.000,101.643,y data dB,118.000,71.351,y data lin,118.000,31.068,y data lin,118.000,0.523,y data dB,17000.000,99.546,y data dB,17000.000,-42.769,y data dB,17000.000,-45.969,y data dB,118.000,-135.641,y data dB,118.000,-134.699,y data lin,236.000,3.521,y data lin,236.000,0.121,y data dB,8500.000,-37.758,y data dB,,,y data dB,236.000,0.992,y data lin,236.000,3.338,y data lin,236.000,0.107,y data dB,8500.000,-38.552,y data dB,,,y data dB,118.000,-95.457,y data dB,118.000,-94.583
z data lin,16000.000,89.126,z data lin,125.000,72.297,z data lin,125.000,38.234,z data lin,125.000,0.631,z data lin,16000.000,96.255,z data lin,16000.000,-43.642,z data lin,16000.000,-47.106,z data lin,125.000,-135.894,z data lin,125.000,-134.743,z data lin,250.000,2.812,z data lin,250.000,0.098,z data lin,8000.000,-38.425,z data lin,,,z data lin,250.000,1.020,z data lin,250.000,2.612,z data lin,250.000,0.087,z data lin,8000.000,-38.774,z data lin,,,z data lin,125.000,-95.711,z data lin,125.000,-94.627
,15000.000,88.135,,132.000,73.060,,132.000,44.108,,132.000,0.639,,15000.000,93.123,,15000.000,-43.022,,15000.000,-45.539,,132.000,-137.236,,132.000,-135.736,,265.000,2.543,,265.000,0.111,,7500.000,-38.842,,,,,265.000,0.956,,265.000,2.463,,265.000,0.131,,7500.000,-38.391,,,,,132.000,-97.052,,132.000,-95.619
x axis log,14000.000,97.846,x axis log,140.000,73.808,x axis log,140.000,44.590,x axis log,140.000,0.782,x axis log,14000.000,96.819,x axis log,14000.000,-41.748,x axis log,14000.000,-45.286,x axis log,140.000,-139.005,x axis log,140.000,-137.314,x axis log,280.000,2.450,x axis log,280.000,0.144,x axis log,7100.000,-39.063,x axis log,,,x axis log,280.000,0.988,x axis log,280.000,2.329,x axis log,280.000,0.147,x axis log,7100.000,-38.715,x axis log,,,x axis log,140.000,-98.821,x axis log,140.000,-97.198
y axis lin,13200.000,98.061,y axis lin,150.000,74.587,y axis lin,150.000,38.823,y axis lin,150.000,0.834,y axis lin,13200.000,97.471,y axis lin,13200.000,-42.852,y axis lin,13200.000,-40.944,y axis lin,150.000,-138.172,y axis lin,150.000,-137.863,y axis lin,300.000,2.188,y axis lin,300.000,0.115,y axis lin,6700.000,-37.878,y axis lin,,,y axis lin,300.000,1.115,y axis lin,300.000,1.971,y axis lin,300.000,0.126,y axis lin,6700.000,-38.137,y axis lin,,,y axis lin,150.000,-97.989,y axis lin,150.000,-97.747
z axis lin,12500.000,95.386,z axis lin,160.000,75.113,z axis lin,160.000,30.122,z axis lin,160.000,0.798,z axis lin,12500.000,95.669,z axis lin,12500.000,-43.671,z axis lin,12500.000,-37.990,z axis lin,160.000,-136.930,z axis lin,160.000,-137.800,z axis lin,315.000,1.866,z axis lin,315.000,0.095,z axis lin,6300.000,-36.863,z axis lin,,,z axis lin,315.000,1.162,z axis lin,315.000,1.654,z axis lin,315.000,0.075,z axis lin,6300.000,-36.720,z axis lin,,,z axis lin,160.000,-96.746,z axis lin,160.000,-97.684
,11800.000,91.600,,170.000,75.520,,170.000,24.115,,170.000,0.785,,11800.000,94.701,,11800.000,-43.805,,11800.000,-38.797,,170.000,-136.462,,170.000,-137.709,,335.000,1.530,,335.000,0.111,,6000.000,-37.045,,,,,335.000,1.178,,335.000,1.330,,335.000,0.099,,6000.000,-36.334,,,,,170.000,-96.279,,170.000,-97.592
