Spk FR,20000.000,91.982,Total Distortion,100.000,67.331,Spk THD,100.000,14.072,Spk Rub & Buzz,100.000,0.283,Spk FR Smoothed,20000.000,91.982,Mic Seal L smoothed,20000.000,-52.122,Mic Seal R smoothed,20000.000,-45.588,Mic Seal Delta L,100.000,-136.002,Mic Seal Delta R,100.000,-135.107,Mic L THD,200.000,11.043,Mic L Rub & Buzz,200.000,0.312,Mic L FR smoothed,10000.000,-38.583,Mic L 1k  Sensitivity,NaN,-40.367,Check Mic Missing  Delta Curve,200.000,1.108,Mic R THD,200.000,10.844,Mic R Rub & Buzz,200.000,0.281,Mic R FR smoothed,10000.000,-38.135,Mic R 1k  Sensitivity,NaN,-40.192,mic seal L final,100.000,-95.635,mic seal R final,100.000,-94.915
,19000.000,89.691,,106.000,68.345,,106.000,17.634,,106.000,0.433,,19000.000,93.494,,19000.000,-45.001,,19000.000,-50.277,,106.000,-135.625,,106.000,-134.940,,212.000,6.809,,212.000,0.258,,9500.000,-37.226,,,,,212.000,1.253,,212.000,6.700,,212.000,0.227,,9500.000,-37.420,,,,,106.000,-95.258,,106.000,-94.748
x data lin,18000.000,97.406,x data lin,112.000,69.199,x data lin,112.000,21.630,x data lin,112.000,0.429,x data lin,18000.000,98.396,x data lin,18000.000,-46.470,x data lin,18000.000,-48.149,x data lin,112.000,-135.517,x data lin,112.000,-134.906,x data lin,224.000,4.653,x data lin,224.000,0.177,x data lin,9000.000,-36.975,x data lin,,,x data lin,224.000,1.323,x data lin,224.000,4.504,x data lin,224.000,0.164,x data lin,9000.000,-37.683,x data lin,,,x data lin,112.000,-95.150,x data lin,112.000,-94.714
y data dB,17000.000,101.961,y data dB,118.000,69.819,y data lin,118.000,25.209,y data lin,118.000,0.549,y data dB,17000.000,99.990,y data dB,17000.000,-46.393,y data dB,17000.000,-45.629,y data dB,118.000,-135.785,y data dB,118.000,-135.100,y data lin,236.000,3.468,y data lin,236.000,0.116,y data dB,8500.000,-38.044,y data dB,,,y data dB,236.000,1.375,y data lin,236.000,3.215,y data lin,236.000,0.103,y data dB,8500.000,-38.715,y data dB,,,y data dB,118.000,-95.417,y data dB,118.000,-94.908
z data lin,16000.000,94.756,z data lin,125.000,70.520,z data lin,125.000,30.150,z data lin,125.000,0.436,z data lin,16000.000,97.674,z data lin,16000.000,-45.541,z data lin,16000.000,-46.065,z data lin,125.000,-136.400,z data lin,125.000,-135.522,z data lin,250.000,2.760,z data lin,250.000,0.084,z data lin,8000.000,-38.742,z data lin,,,z data lin,250.000,1.391,z data lin,250.000,2.541,z data lin,250.000,0.082,z data lin,8000.000,-38.800,z data lin,,,z data lin,125.000,-96.032,z data lin,125.000,-95.330
,15000.000,92.366,,132.000,71.199,,132.000,34.619,,132.000,0.726,,15000.000,94.436,,15000.000,-42.085,,15000.000,-43.246,,132.000,-137.481,,132.000,-136.267,,265.000,2.565,,265.000,0.119,,7500.000,-38.918,,,,,265.000,1.331,,265.000,2.427,,265.000,0.124,,7500.000,-38.083,,,,,132.000,-97.113,,132.000,-96.075
x axis log,14000.000,96.692,x axis log,140.000,71.664,x axis log,140.000,36.092,x axis log,140.000,0.785,x axis log,14000.000,96.173,x axis log,14000.000,-39.574,x axis log,14000.000,-41.524,x axis log,140.000,-138.687,x axis log,140.000,-137.213,x axis log,280.000,2.441,x axis log,280.000,0.149,x axis log,7100.000,-39.171,x axis log,,,x axis log,280.000,1.276,x axis log,280.000,2.315,x axis log,280.000,0.139,x axis log,7100.000,-38.509,x axis log,,,x axis log,140.000,-98.319,x axis log,140.000,-97.021
y axis lin,13200.000,97.410,y axis lin,150.000,72.165,y axis lin,150.000,30.384,y axis lin,150.000,0.654,y axis lin,13200.000,96.556,y axis lin,13200.000,-40.044,y axis lin,13200.000,-38.392,y axis lin,150.000,-139.081,y axis lin,150.000,-137.613,y axis lin,300.000,2.179,y axis lin,300.000,0.126,y axis lin,6700.000,-38.129,y axis lin,,,y axis lin,300.000,1.290,y axis lin,300.000,1.957,y axis lin,300.000,0.118,y axis lin,6700.000,-37.716,y axis lin,,,y axis lin,150.000,-98.713,y axis lin,150.000,-97.421
z axis lin,12500.000,93.826,z axis lin,160.000,72.456,z axis lin,160.000,24.725,z axis lin,160.000,0.521,z axis lin,12500.000,94.521,z axis lin,12500.000,-41.594,z axis lin,12500.000,-36.335,z axis lin,160.000,-138.660,z axis lin,160.000,-137.546,z axis lin,315.000,1.848,z axis lin,315.000,0.114,z axis lin,6300.000,-37.082,z axis lin,,,z axis lin,315.000,1.337,z axis lin,315.000,1.645,z axis lin,315.000,0.081,z axis lin,6300.000,-36.048,z axis lin,,,z axis lin,160.000,-98.293,z axis lin,160.000,-97.354
,11800.000,89.974,,170.000,72.622,,170.000,20.454,,170.000,0.580,,11800.000,93.864,,11800.000,-44.043,,11800.000,-38.208,,170.000,-137.838,,170.000,-137.337,,335.000,1.491,,335.000,0.110,,6000.000,-36.994,,,,,335.000,1.405,,335.000,1.299,,335.000,0.096,,6000.000,-35.942,,,,,170.000,-97.470,,170.000,-97.145
Hz,11200.000,97.272,Hz,180.000,72.779,Hz,180.000,16.990,Hz,180.000,0.607,Hz,11200.000,95.343,Hz,11200.000,-48.826,Hz,11200.000,-42.523,Hz,180.000,-136.986,Hz,180.000,-136.949,Hz,355.000,1.344,Hz,355.000,0.128,Hz,5600.000,-37.647,,,,Hz,355.000,1.457,Hz,355.000,1.145,Hz,355.000,0.090,Hz,5600.000,-36.797,,,,Hz,180.000,-96.618,Hz,180.000,-96.757
dB re 20u Pa,10600.000,93.061,dB re 20u Pa,190.000,73.035,%,190.000,14.780,%,190.000,0.657,dB re 20u Pa,10600.000,93.974,dB re 1 FS/Pa,10600.000,-47.730,dB re 1 FS/Pa,10600.000,-42.624,dB re 50k FS/Pa/ Pa,190.000,-136.237,dB re 50k FS/Pa/ Pa,190.000,-136.404,%,375.000,1.161,%,375.000,0.076,dB re 1 FS/Pa,5300.000,-38.973,dB re 1 FS/Pa,,,dB re 1 ,375.000,1.425,%,375.000,1.005,%,375.000,0.066,dB re 1 FS/Pa,5300.000,-38.225,dB re 1 FS/Pa,,,dB re 50k FS/Pa/ Pa/ FS/Pa,190.000,-95.869,dB re 50k FS/Pa/ Pa/ FS/Pa,190.000,-96.212
deg.,10000.000,87.828,deg.,200.000,73.601,deg.,200.000,13.134,deg.,200.000,0.669,deg.,10000.000,93.689,deg.,10000.000,-45.414,deg.,10000.000,-43.187,deg.,200.000,-135.693,deg.,200.000,-135.893,deg.,400.000,0.930,deg.,400.000,0.060,deg.,5000.000,-39.797,deg.,,,deg.,400.000,1.342,deg.,400.000,0.833,deg.,400.000,0.039,deg.,5000.000,-39.607,deg.,,,deg.,200.000,-95.325,deg.,200.000,-95.701
,9500.000,97.866,,212.000,71.781,,212.000,8.578,,212.000,0.568,,9500.000,99.260,,9500.000,-43.129,,9500.000,-40.503,,212.000,-135.422,,212.000,-135.596,,425.000,0.898,,425.000,0.035,,4750.000,-39.188,,,,,425.000,1.255,,425.000,0.805,,425.000,0.026,,4750.000,-39.344,,,,,212.000,-95.055,,212.000,-95.404
,9000.000,103.200,,224.000,72.419,,224.000,7.635,,224.000,0.492,,9000.000,101.425,,9000.000,-37.529,,9000.000,-37.273,,224.000,-135.368,,224.000,-135.506,,450.000,0.834,,450.000,0.026,,4500.000,-38.398,,,,,450.000,1.172,,450.000,0.747,,450.000,0.050,,4500.000,-38.564,,,,,224.000,-95.000,,224.000,-95.314
