Spk FR,20000.000,93.633,Total Distortion,100.000,67.771,Spk THD,100.000,14.826,Spk Rub & Buzz,100.000,0.384,Spk FR Smoothed,20000.000,93.633,Mic Seal L smoothed,20000.000,-45.799,Mic Seal R smoothed,20000.000,-41.087,Mic Seal Delta L,100.000,-136.272,Mic Seal Delta R,100.000,-135.451,Mic L THD,200.000,11.008,Mic L Rub & Buzz,200.000,0.317,Mic L FR smoothed,10000.000,-38.991,Mic L 1k  Sensitivity,NaN,-40.475,Check Mic Missing  Delta Curve,200.000,1.388,Mic R THD,200.000,10.777,Mic R Rub & Buzz,200.000,0.267,Mic R FR smoothed,10000.000,-37.864,Mic R 1k  Sensitivity,NaN,-40.028,mic seal L final,100.000,-95.797,mic seal R final,100.000,-95.422
,19000.000,92.540,,106.000,68.943,,106.000,18.408,,106.000,0.272,,19000.000,95.326,,19000.000,-42.510,,19000.000,-45.818,,106.000,-135.952,,106.000,-134.838,,212.000,6.828,,212.000,0.247,,9500.000,-37.644,,,,,212.000,1.515,,212.000,6.684,,212.000,0.224,,9500.000,-37.156,,,,,106.000,-95.477,,106.000,-94.810
x data lin,18000.000,98.885,x data lin,112.000,69.849,x data lin,112.000,22.610,x data lin,112.000,0.479,x data lin,18000.000,98.574,x data lin,18000.000,-44.677,x data lin,18000.000,-46.946,x data lin,112.000,-135.777,x data lin,112.000,-134.530,x data lin,224.000,4.652,x data lin,224.000,0.171,x data lin,9000.000,-37.279,x data lin,,,x data lin,224.000,1.567,x data lin,224.000,4.495,x data lin,224.000,0.154,x data lin,9000.000,-37.348,x data lin,,,x data lin,112.000,-95.302,x data lin,112.000,-94.502
y data dB,17000.000,100.621,y data dB,118.000,70.646,y data lin,118.000,27.541,y data lin,118.000,0.409,y data dB,17000.000,99.086,y data dB,17000.000,-45.166,y data dB,17000.000,-45.352,y data dB,118.000,-135.896,y data dB,118.000,-134.619,y data lin,236.000,3.480,y data lin,236.000,0.119,y data dB,8500.000,-38.268,y data dB,,,y data dB,236.000,1.614,y data lin,236.000,3.205,y data lin,236.000,0.104,y data dB,8500.000,-38.381,y data dB,,,y data dB,118.000,-95.421,y data dB,118.000,-94.591
z data lin,16000.000,92.030,z data lin,125.000,71.454,z data lin,125.000,33.641,z data lin,125.000,0.664,z data lin,16000.000,95.814,z data lin,16000.000,-42.994,z data lin,16000.000,-44.843,z data lin,125.000,-136.374,z data lin,125.000,-135.068,z data lin,250.000,2.773,z data lin,250.000,0.100,z data lin,8000.000,-38.967,z data lin,,,z data lin,250.000,1.635,z data lin,250.000,2.529,z data lin,250.000,0.085,z data lin,8000.000,-38.555,z data lin,,,z data lin,125.000,-95.899,z data lin,125.000,-95.039
,15000.000,87.210,,132.000,72.222,,132.000,39.335,,132.000,0.781,,15000.000,93.790,,15000.000,-40.928,,15000.000,-41.305,,132.000,-137.236,,132.000,-135.972,,265.000,2.567,,265.000,0.119,,7500.000,-39.075,,,,,265.000,1.581,,265.000,2.399,,265.000,0.126,,7500.000,-37.887,,,,,132.000,-96.761,,132.000,-95.943
x axis log,14000.000,98.404,x axis log,140.000,72.907,x axis log,140.000,42.393,x axis log,140.000,0.965,x axis log,14000.000,97.330,x axis log,14000.000,-39.852,x axis log,14000.000,-39.773,x axis log,140.000,-137.653,x axis log,140.000,-137.051,x axis log,280.000,2.464,x axis log,280.000,0.149,x axis log,7100.000,-39.279,x axis log,,,x axis log,280.000,1.530,x axis log,280.000,2.299,x axis log,280.000,0.146,x axis log,7100.000,-38.298,x axis log,,,x axis log,140.000,-97.178,x axis log,140.000,-97.023
y axis lin,13200.000,98.606,y axis lin,150.000,73.601,y axis lin,150.000,36.811,y axis lin,150.000,0.765,y axis lin,13200.000,97.691,y axis lin,13200.000,-40.064,y axis lin,13200.000,-38.080,y axis lin,150.000,-137.372,y axis lin,150.000,-137.539,y axis lin,300.000,2.163,y axis lin,300.000,0.121,y axis lin,6700.000,-38.206,y axis lin,,,y axis lin,300.000,1.544,y axis lin,300.000,1.951,y axis lin,300.000,0.121,y axis lin,6700.000,-37.634,y axis lin,,,y axis lin,150.000,-96.897,y axis lin,150.000,-97.511
z axis lin,12500.000,93.165,z axis lin,160.000,74.172,z axis lin,160.000,29.793,z axis lin,160.000,0.937,z axis lin,12500.000,95.077,z axis lin,12500.000,-40.228,z axis lin,12500.000,-36.508,z axis lin,160.000,-137.244,z axis lin,160.000,-137.658,z axis lin,315.000,1.857,z axis lin,315.000,0.102,z axis lin,6300.000,-37.158,z axis lin,,,z axis lin,315.000,1.594,z axis lin,315.000,1.621,z axis lin,315.000,0.072,z axis lin,6300.000,-36.062,z axis lin,,,z axis lin,160.000,-96.769,z axis lin,160.000,-97.630
,11800.000,91.695,,170.000,74.497,,170.000,25.484,,170.000,0.765,,11800.000,94.755,,11800.000,-41.850,,11800.000,-38.258,,170.000,-136.940,,170.000,-137.460,,335.000,1.502,,335.000,0.112,,6000.000,-37.098,,,,,335.000,1.662,,335.000,1.275,,335.000,0.099,,6000.000,-35.834,,,,,170.000,-96.465,,170.000,-97.432
