Spk FR,20000.000,90.267,Total Distortion,100.000,67.063,Spk THD,100.000,13.103,Spk Rub & Buzz,100.000,0.185,Spk FR Smoothed,20000.000,90.267,Mic Seal L smoothed,20000.000,-57.623,Mic Seal R smoothed,20000.000,-40.103,Mic Seal Delta L,100.000,-135.612,Mic Seal Delta R,100.000,-135.049,Mic L THD,200.000,11.587,Mic L Rub & Buzz,200.000,0.524,Mic L FR smoothed,10000.000,-37.093,Mic L 1k  Sensitivity,NaN,-39.370,Check Mic Missing  Delta Curve,200.000,-0.703,Mic R THD,200.000,12.780,Mic R Rub & Buzz,200.000,0.564,Mic R FR smoothed,10000.000,-35.598,Mic R 1k  Sensitivity,NaN,-39.240,mic seal L final,100.000,-96.242,mic seal R final,100.000,-95.809
,19000.000,88.333,,106.000,67.996,,106.000,15.712,,106.000,0.197,,19000.000,92.996,,19000.000,-43.568,,19000.000,-43.868,,106.000,-135.521,,106.000,-134.840,,212.000,7.394,,212.000,0.336,,9500.000,-36.262,,,,,212.000,-1.087,,212.000,9.349,,212.000,0.458,,9500.000,-35.478,,,,,106.000,-96.151,,106.000,-95.600
x data lin,18000.000,97.442,x data lin,112.000,68.581,x data lin,112.000,18.128,x data lin,112.000,0.219,x data lin,18000.000,99.462,x data lin,18000.000,-42.985,x data lin,18000.000,-41.644,x data lin,112.000,-135.273,x data lin,112.000,-134.459,x data lin,224.000,4.874,x data lin,224.000,0.259,x data lin,9000.000,-36.639,x data lin,,,x data lin,224.000,-1.324,x data lin,224.000,6.564,x data lin,224.000,0.326,x data lin,9000.000,-36.630,x data lin,,,x data lin,112.000,-95.903,x data lin,112.000,-95.219
y data dB,17000.000,103.722,y data dB,118.000,69.100,y data lin,118.000,21.248,y data lin,118.000,0.250,y data dB,17000.000,101.480,y data dB,17000.000,-41.055,y data dB,17000.000,-39.197,y data dB,118.000,-134.911,y data dB,118.000,-133.970,y data lin,236.000,3.817,y data lin,236.000,0.190,y data dB,8500.000,-38.557,y data dB,,,y data dB,236.000,-1.368,y data lin,236.000,4.943,y data lin,236.000,0.206,y data dB,8500.000,-39.181,y data dB,,,y data dB,118.000,-95.541,y data dB,118.000,-94.730
z data lin,16000.000,95.530,z data lin,125.000,69.663,z data lin,125.000,24.867,z data lin,125.000,0.330,z data lin,16000.000,98.946,z data lin,16000.000,-40.164,z data lin,16000.000,-40.050,z data lin,125.000,-135.120,z data lin,125.000,-133.952,z data lin,250.000,3.164,z data lin,250.000,0.157,z data lin,8000.000,-40.228,z data lin,,,z data lin,250.000,-1.363,z data lin,250.000,4.056,z data lin,250.000,0.182,z data lin,8000.000,-40.610,z data lin,,,z data lin,125.000,-95.751,z data lin,125.000,-94.712
,15000.000,88.262,,132.000,70.220,,132.000,27.762,,132.000,0.465,,15000.000,93.944,,15000.000,-40.877,,15000.000,-42.833,,132.000,-136.463,,132.000,-134.810,,265.000,2.765,,265.000,0.111,,7500.000,-39.579,,,,,265.000,-1.290,,265.000,3.535,,265.000,0.129,,7500.000,-39.960,,,,,132.000,-97.094,,132.000,-95.570
x axis log,14000.000,96.994,x axis log,140.000,70.631,x axis log,140.000,28.804,x axis log,140.000,0.474,x axis log,14000.000,97.114,x axis log,14000.000,-40.072,x axis log,14000.000,-41.654,x axis log,140.000,-138.106,x axis log,140.000,-136.322,x axis log,280.000,2.364,x axis log,280.000,0.061,x axis log,7100.000,-38.956,x axis log,,,x axis log,280.000,-1.137,x axis log,280.000,2.949,x axis log,280.000,0.090,x axis log,7100.000,-39.383,x axis log,,,x axis log,140.000,-98.736,x axis log,140.000,-97.082
y axis lin,13200.000,99.956,y axis lin,150.000,70.976,y axis lin,150.000,25.476,y axis lin,150.000,0.550,y axis lin,13200.000,98.339,y axis lin,13200.000,-38.993,y axis lin,13200.000,-39.896,y axis lin,150.000,-138.417,y axis lin,150.000,-137.541,y axis lin,300.000,2.048,y axis lin,300.000,0.064,y axis lin,6700.000,-38.731,y axis lin,,,y axis lin,300.000,-0.947,y axis lin,300.000,2.455,y axis lin,300.000,0.063,y axis lin,6700.000,-38.327,y axis lin,,,y axis lin,150.000,-99.047,y axis lin,150.000,-98.301
z axis lin,12500.000,93.960,z axis lin,160.000,71.221,z axis lin,160.000,20.522,z axis lin,160.000,0.537,z axis lin,12500.000,96.185,z axis lin,12500.000,-39.002,z axis lin,12500.000,-40.302,z axis lin,160.000,-138.211,z axis lin,160.000,-137.917,z axis lin,315.000,1.763,z axis lin,315.000,0.035,z axis lin,6300.000,-37.736,z axis lin,,,z axis lin,315.000,-0.818,z axis lin,315.000,2.054,z axis lin,315.000,0.063,z axis lin,6300.000,-36.947,z axis lin,,,z axis lin,160.000,-98.841,z axis lin,160.000,-98.677
,11800.000,92.414,,170.000,71.350,,170.000,16.646,,170.000,0.565,,11800.000,95.178,,11800.000,-39.052,,11800.000,-40.732,,170.000,-137.693,,170.000,-137.683,,335.000,1.486,,335.000,0.035,,6000.000,-36.777,,,,,335.000,-0.792,,335.000,1.746,,335.000,0.054,,6000.000,-36.465,,,,,170.000,-98.323,,170.000,-98.443
